*, 17452, 0.0593821561
display, 6, 0.0000204156
box, 171, 0.0005818444
credit, 355, 0.0012079226
application, 33, 0.0001122858
need, 377, 0.0012827798
place, 249, 0.0008472471
small, 88, 0.0002994287
owner-operate, 1, 0.0000034026
store, 35, 0.0001190910
area, 70, 0.0002381819
., 20150, 0.0685623679
here, 358, 0.0012181304
:, 2578, 0.0087719000
1, 697, 0.0023716114
introduce, 27, 0.0000918702
yourself, 103, 0.0003504677
owner, 26, 0.0000884676
manager, 4, 0.0000136104
2, 678, 0.0023069621
our, 1085, 0.0036918198
90, 90, 0.0003062339
%, 396, 0.0013474292
effective, 69, 0.0002347793
script, 4, 0.0000136104
tell, 193, 0.0006567016
little, 175, 0.0005954548
save, 211, 0.0007179484
customer, 113, 0.0003844937
hundred, 93, 0.0003164417
dollar, 179, 0.0006090652
,, 11553, 0.0393102251
draw, 7, 0.0000238182
card, 283, 0.0009629355
business, 719, 0.0024464686
$, 4365, 0.0148523442
5, 599, 0.0020381567
0, 1928, 0.0065602107
15, 122, 0.0004151171
every, 357, 0.0012147278
app, 1, 0.0000034026
send, 1015, 0.0034536379
3, 468, 0.0015924163
spot, 12, 0.0000408312
counter, 6, 0.0000204156
nothing, 122, 0.0004151171
name, 854, 0.0029058195
address, 1270, 0.0043213006
company, 269, 0.0009152991
commission, 28, 0.0000952728
check, 504, 0.0017149098
compensaation, 1, 0.0000034026
10, 472, 0.0016060267
become, 96, 0.0003266495
representative, 10, 0.0000340260
earn, 143, 0.0004865716
each, 452, 0.0015379747
course, 93, 0.0003164417
much, 279, 0.0009493251
profitable, 55, 0.0001871429
plan, 150, 0.0005103898
pay, 260, 0.0008846757
month, 217, 0.0007383640
effort, 70, 0.0002381819
call, 423, 0.0014392993
1-888, 42, 0.0001429092
-, 17333, 0.0589772468
703-5390, 1, 0.0000034026
code, 116, 0.0003947015
24, 146, 0.0004967794
hours, 21, 0.0000714546
receive, 858, 0.0029194299
detail, 76, 0.0002585975
!, 6256, 0.0212866587
removed, 12, 0.0000408312
mailing, 114, 0.0003878963
